Rank,Wallet Address,Buy Count,Sell Count,Total Buy SOL,Total Sell SOL,Net SOL (Modal),Sisa Token (Net),Realized Profit USD,Balance,Tags
1,9r75WXEnpgCdwq1Liq2CJquVpmmisjVXAzXZF8ZApMQT,1,1,12.8059,0.6327,12.1732,21824956.23,4584.04,0,"top_holder; paper_hands"
2,5SEB5MwY6Zhw2gmFvkjzqzQ8SuEMJDRqcPtxAjUEGXs3,1,0,11.8731,0.0000,11.8731,22985488.89,-233.24,22985488.887358,"top_holder"
3,5EPkHhzhokenzLw29PQki3H5wAZQg1WLbKUENYUvxk3T,6,0,9.8022,0.0000,9.8022,15011763.46,-7050.63,44.295705,"top_holder; bundler"
4,CxjoS8fKMTA75StAQEaqt1a1cPzLXyYzUgR8uedjyQAQ,2,1,7.0011,0.5039,6.4973,8357039.82,196.73,0,"paper_hands"
5,GrfNYaPbtPjzXoyi54CJVNVg2sWMt3HHywyFRU7Eu1h7,7,0,6.4204,0.0000,6.4204,9762575.00,1039.73,0,"axiom"
6,5yFPJTJe8DEPFQZwGHdhm1h4DaxLCT7MXDmUygzPDA7m,11,2,7.3568,0.9833,6.3736,11040594.15,-72.79,0.000001,"paper_hands; top_holder"
7,GZYE6zgcsZ9Vgdv9wqkw1oufXBMA5LpB1k13CnezkmU8,2,0,6.2675,0.0000,6.2675,9209744.19,1719.28,0,""
8,3Ze3DpxBbJqga4dXQUjN3pJjiFmJXkxA4zhhgJ324Kde,8,1,6.5490,0.3795,6.1695,5255015.86,-261.42,0,""
9,2LVMPutg4AaLK1AVYUt7CBBgjrhAnEGhy3q7XUUx4hBH,20,1,6.4210,0.9315,5.4896,7348625.12,5095.28,15.596852,"top_holder"
10,GrPuthJLpoZMfvD1JPWTCwFSKfsd65dUrwGckTnDry73,6,0,5.3618,0.0000,5.3618,7955449.21,1833.41,0,"axiom"
11,F7WrokG3Tas6SSQmMGDdRRU3EaDM7KKGDWDqUfmFk1JM,11,4,5.4552,0.8497,4.6054,8753403.41,17.11,0,"fresh_wallet; top_holder"
12,7JCe3GHwkEr3feHgtLXnmuJ1yB3A7coSeyynxTBgdG8k,2,0,4.5390,0.0000,4.5390,6983522.68,-271.22,0,""
13,CiTbEKA1fAMoctVjbFWWxCs7E1LtreSSfUH9EcKMZfSB,1,0,4.4555,0.0000,4.4555,5872280.01,1206.10,0,""
14,8GxtiRTVFT9KVUGLtJMoWTEBcZB3gfFAarTgp2Bm5yj,15,14,7.9556,3.9554,4.0002,7292874.48,-300.37,0,"paper_hands; fresh_wallet"
15,4FX7JDqfVCCmBTZvk8acABaRzwtXTzqcoxdecdbFkbbE,2,0,3.7436,0.0000,3.7436,7043242.98,255.06,6325522.393745,"fresh_wallet"
16,2A2BW92V75TmXuk2A9Tjq5DHL3uaeRnnNPfnSfstRYoS,8,0,3.5272,0.0000,3.5272,5065344.67,289.27,0,""
17,DgL8xYzHXafLbekw9hZNDXb1tCZ3v21WhHNwMdmg8BoH,2,0,3.5190,0.0000,3.5190,6350184.23,-283.54,0,"photon"
18,2ubkNUdBu3zwyw3LaDmU4eZ4k6rnNoZkPGSmTw8BdzVX,3,2,9.0180,5.5676,3.4504,0.00,-305.05,0,"trojan; top_holder"
19,H8GijqcNEFcZHNXbuPSJfHpn3b8Bic9scbXFVUCgVjxy,2,0,3.2925,0.0000,3.2925,4537932.42,491.43,0.000001,""
20,2Ju1JhcvpaPDL8r7n7P1hdXM8n8sQGgKsybpUv4S8sEg,9,2,4.2274,0.9999,3.2275,2302096.40,-1878.12,0,"top_holder"
